# index, label, movie_id, viz, vid, _pos
0,ABBIE HOFFMAN,316,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 124.594986, 'y': -307.2376, 'z': 0.0}}",1907651,"array([-13.26882594,  19.09422827])"
1,AGING HIPPIE,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 241.71782, 'y': 100.13097, 'z': 0.0}}",1910034,"array([-11.1705852 ,  21.56252104])"
2,ANCHORMAN,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.139991, 'position': {'x': -9.313011, 'y': 148.08176, 'z': 0.0}}",1907518,"array([-10.81843441,  20.35664427])"
3,ANNOUNCER,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.003981, 'position': {'x': -110.90322, 'y': 100.17105, 'z': 0.0}}",1905792,"array([-12.11643724,  20.01093202])"
4,ANOTHER DAY,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -198.1581, 'y': 320.84894, 'z': 0.0}}",1906131,"array([-10.7471732 ,  18.61851771])"
5,ASSISTANT COACH,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -219.81847, 'y': -165.77675, 'z': 0.0}}",1905422,"array([-14.57353897,  18.47829498])"
6,BERT,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 331.55612, 'y': -110.34284, 'z': 0.0}}",1910388,"array([-13.52856291,  19.82003559])"
7,BILLY,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -99.59406, 'y': -230.17206, 'z': 0.0}}",1905535,"array([-14.20289739,  18.92670655])"
8,BLACK PANTHER,316,"{'color': {'r': 115, 'g': 80, 'b': 205, 'a': 1.0}, 'size': 5.0, 'position': {'x': 181.58649, 'y': -213.30362, 'z': 0.0}}",1907881,"array([-14.52398436,  20.79366149])"
9,BLACK WOMAN,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -76.40356, 'y': -177.5602, 'z': 0.0}}",1904104,"array([-13.72982684,  18.98511464])"
10,BOB HOPE,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -113.95419, 'y': 12.3987465, 'z': 0.0}}",1908340,"array([-11.54330325,  19.04301429])"
11,BOY,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -119.82283, 'y': -189.04395, 'z': 0.0}}",1905131,"array([-14.57298378,  22.01234563])"
12,BOY #1,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 186.1245, 'y': 83.68647, 'z': 0.0}}",1904638,"array([-13.59578234,  20.77865414])"
13,BOY #2,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 199.78708, 'y': 121.52362, 'z': 0.0}}",1904641,"array([-13.71427195,  21.25822631])"
14,BOY #3,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 161.87605, 'y': 123.4828, 'z': 0.0}}",1904649,"array([-13.96953726,  20.91553768])"
15,BUBBA,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0293155, 'position': {'x': -101.49167, 'y': 210.21855, 'z': 0.0}}",1906003,"array([-11.17958414,  19.31208527])"
16,BUS DRIVER,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 85.29689, 'y': 221.10107, 'z': 0.0}}",1904610,"array([-11.69704041,  18.50513377])"
17,BUS STOP - PRESENT - DAY,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -207.09973, 'y': -63.565063, 'z': 0.0}}",1908156,"array([-13.03248224,  18.04964559])"
18,CAB DRIVER,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 200.61934, 'y': -265.1691, 'z': 0.0}}",1909780,"array([-15.40720733,  21.18108899])"
19,CARLA,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': 102.57433, 'y': 305.2832, 'z': 0.0}}",1908456,"array([-11.79421632,  21.21654006])"
20,CHET HUNTLEY,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.161344, 'position': {'x': -208.10492, 'y': -222.87604, 'z': 0.0}}",1905279,"array([-15.23761434,  19.31777661])"
